"TOA5","CR3000_IP","CR3000","8552","CR3000.Std.26","CPU:2019-10-22_Mobile-PM_Gill-RS232_T-RH_LI75.CR3","47685","slowdata"
"TIMESTAMP","RECORD","CPC_aux_Avg","LiveBin_1dM_Avg","LiveBin_16dM_Avg","Ts_Avg","Pressure_kPa_Avg","BattV_Min","PTemp_C"
"TS","RN","p/cm3","ug/m^3","ug/m^3","degC","kPa","Volts","Deg C"
"","","Avg","Avg","Avg","Avg","Avg","Min","Smp"
"2019-11-14 15:45:00",683,12353.87,0.6064333,3.882533,7.902,83.5,12.29,16.54
"2019-11-14 15:46:00",684,13872.04,0.6021333,0,7.876,83.4,12.25,16.55
"2019-11-14 15:47:00",685,15358.61,0.6111667,0,7.981,83.4,12.22,16.56
"2019-11-14 15:48:00",686,15626.98,0.6105667,0,7.907,83.3,12.26,16.57
"2019-11-14 15:49:00",687,"NAN",0.6222667,1.553,7.852,"NAN","NAN",16.58
"2019-11-14 15:50:00",688,21595.02,0.5967667,1.553,7.704,86.4,12.24,16.58
"2019-11-14 15:51:00",689,"NAN",0.6118,3.8825,7.788,84.4,12.24,16.59
"2019-11-14 15:52:00",690,15272.78,0.6056666,1.553,7.461,83.7,12.23,16.6
"2019-11-14 15:53:00",691,17883.79,0.5893333,1.553,7.419,83.5,12.23,16.61
"2019-11-14 15:54:00",692,7799.645,0.5559999,0,7.327,83.4,12.25,16.63
"2019-11-14 15:55:00",693,2605.566,0.1497333,0,12.1,83.4,12.25,16.64
"2019-11-14 15:56:00",694,2586.733,0.1678333,2.3295,11.6,83.3,12.24,16.65
"2019-11-14 15:57:00",695,3345.98,0.2337,17.0832,11.71,83.3,12.23,16.65
"2019-11-14 15:58:00",696,1144.183,"NAN","NAN",11.75,83.3,12.25,16.67
"2019-11-21 09:46:00",697,-707.2554,0,0,11.76,82.2,12.92,10.9
"2019-11-21 09:47:00",698,-705.4373,"NAN","NAN",11.76,82.8,12.38,10.9
"2019-11-21 09:48:00",699,-555.9396,"NAN","NAN",11.77,83.2,12.4,10.91
"2019-11-21 09:49:00",700,-339.6852,0.8724,5.435533,11.73,83.3,12.4,10.92
"2019-11-21 09:50:00",701,-334.6708,1.019,4.658999,11.78,83.4,12.37,10.93
"2019-11-21 09:51:00",702,-331.253,1.024533,6.212,11.59,83.4,12.38,10.95
"2019-11-21 09:52:00",703,-330.8659,1.066633,0,11.47,83.4,12.38,10.97
"2019-11-21 09:53:00",704,-325.6888,1.418633,1.553,11.22,83.4,12.36,10.99
"2019-11-21 09:54:00",705,-331.0844,1.654033,2.3295,11.01,83.4,12.38,11.01
"2019-11-21 09:55:00",706,-326.7325,1.778967,0,10.74,83.4,12.39,11.03
"2019-11-21 09:56:00",707,-327.7223,1.785667,0,10.57,83.4,12.38,11.05
"2019-11-21 09:57:00",708,-324.6916,1.963133,1.553,10.54,83.4,12.38,11.07
"2019-11-21 09:58:00",709,-318.8512,1.957367,0.7765,10.29,83.4,12.39,11.08
"2019-11-21 09:59:00",710,-319.8968,1.9142,0,10.24,83.4,12.39,11.11
"2019-11-21 10:00:00",711,-323.5864,1.9864,3.8825,10.21,83.4,12.39,11.13
"2019-11-21 10:01:00",712,-334.106,1.926767,0.7765,10.16,83.4,12.45,11.15
"2019-11-21 10:02:00",713,-351.2358,1.988,0,10.19,83.4,12.4,11.17
"2019-11-21 10:03:00",714,1293.899,2.010167,0,10.04,83.4,12.42,11.18
"2019-11-21 10:04:00",715,8569.631,1.993533,0,9.92,83.4,12.39,11.19
"2019-11-21 10:05:00",716,8534.585,2.004667,0,10,83.4,12.42,11.2
"2019-11-21 10:06:00",717,8505.483,2.035733,0.7765,"NAN",83.4,12.41,11.2
"2019-11-21 10:07:00",718,8346.646,2.027167,3.8825,"NAN",83.4,12.4,11.22
"2019-11-21 10:08:00",719,8362.033,2.039567,2.3295,"NAN",83.4,12.43,11.22
"2019-11-21 10:09:00",720,8247.52,2.042067,1.553,"NAN",83.4,12.4,11.24
"2019-11-21 10:10:00",721,8148.638,2.0443,7.765033,"NAN",83.4,12.43,11.24
"2019-11-21 10:11:00",722,8285.156,2.050067,9.3181,"NAN",83.4,12.43,11.25
"2019-11-21 10:12:00",723,9486.693,2.119533,1.553,"NAN",83.4,12.38,11.26
"2019-11-21 10:13:00",724,10383.09,2.177733,0.7765,-0.823,83.4,12.42,11.27
"2019-11-21 10:14:00",725,10232.43,2.1661,0,-0.559,83.4,12.36,11.28
"2019-11-21 10:15:00",726,10433.84,2.1622,0,-0.235,83.4,12.41,11.3
"2019-11-21 10:16:00",727,10831.74,2.1906,1.553,"NAN",83.4,12.3,11.31
"2019-11-21 10:17:00",728,11585.62,2.1889,0,"NAN",83.4,12.27,11.34
"2019-11-21 10:18:00",729,11388.82,2.204633,3.882533,"NAN",83.4,12.2,11.36
"2019-11-21 10:19:00",730,11929.31,2.1865,0,"NAN",83.4,12.27,11.39
"2019-11-21 10:20:00",731,"NAN",2.154033,0.7765,"NAN","NAN","NAN",11.42
"2019-11-21 10:21:00",732,13536.97,2.1592,1.553,"NAN",85.5,12.44,11.45
"2019-11-21 10:22:00",733,"NAN",2.192,0.7765,"NAN",84.1,12.45,11.47
"2019-11-21 10:23:00",734,"NAN",2.235566,0,"NAN",83.6,12.43,11.49
"2019-11-21 10:24:00",735,"NAN",2.259767,2.3295,"NAN","NAN","NAN",11.5
"2019-11-21 10:25:00",736,21694.16,2.352233,4.659033,"NAN",87.9,12.43,11.52
"2019-11-21 10:26:00",737,19617.62,2.399533,0.7765,"NAN",84.8,12.41,11.54
"2019-11-21 10:27:00",738,"NAN",2.307567,0,"NAN",88.3,12.42,11.55
"2019-11-21 10:28:00",739,"NAN",2.180067,1.553,"NAN",86.2,12.41,11.57
"2019-11-21 10:29:00",740,"NAN",2.287733,5.435533,1.941,"NAN","NAN",11.61
"2019-11-21 10:30:00",741,"NAN",2.2116,0.7765,2.088,"NAN","NAN",18.56
"2019-11-21 10:31:00",742,"NAN",2.1898,0,2.433,"NAN","NAN",11.42
"2019-11-21 10:32:00",743,12553.23,2.1748,1.553,"NAN",85.8,12.41,11.49
"2019-11-21 10:33:00",744,"NAN",2.2955,0,"NAN",84.2,12.38,11.53
"2019-11-21 10:34:00",745,19905.22,2.182233,3.882567,"NAN",83.7,12.35,11.57
"2019-11-21 10:35:00",746,20074.17,2.5043,2.3295,"NAN",83.5,12.39,11.59
"2019-11-21 10:36:00",747,22889.5,2.193633,3.106033,"NAN",83.4,12.25,11.61
"2019-11-21 10:37:00",748,"NAN",2.171333,0.7765,"NAN","NAN","NAN",11.5
"2019-11-21 10:38:00",749,20693.04,2.1613,3.106,"NAN",87.9,12.39,11.54
"2019-11-21 10:39:00",750,15041.03,2.146266,0,"NAN",84.9,12.38,11.59
"2019-11-21 10:40:00",751,21265.99,2.146,0.7765,"NAN",83.9,12.38,11.65
"2019-11-21 10:41:00",752,13786.37,2.123367,0.7765,"NAN",83.5,12.42,11.69
"2019-11-21 10:42:00",753,16957.24,2.1972,1.553,"NAN",83.4,12.4,11.74
"2019-11-21 10:43:00",754,18519.83,2.2046,1.553,"NAN",83.4,12.4,11.78
"2019-11-21 10:44:00",755,19873.95,2.339267,1.553,"NAN",83.4,12.4,11.83
"2019-11-21 10:45:00",756,21306.04,2.411233,1.553,"NAN",83.4,12.4,11.88
"2019-11-21 10:46:00",757,20910.96,2.3061,0.7765,"NAN",83.4,12.33,11.93
"2019-11-21 10:47:00",758,"NAN",2.555866,2.3295,"NAN","NAN","NAN",11.97
"2019-11-21 10:48:00",759,"NAN",2.219633,0,"NAN","NAN","NAN",12.02
"2019-11-21 10:49:00",760,21343.12,2.1775,0,"NAN",86.2,12.3,12.06
"2019-11-21 10:50:00",761,"NAN",2.163867,0,2.564,84.3,12.34,12.1
"2019-11-21 10:51:00",762,22885.84,2.177733,1.553,2.473,83.7,12.36,12.13
"2019-11-21 10:52:00",763,"NAN",2.13,2.3295,2.47,83.5,12.36,12.15
"2019-11-21 10:53:00",764,15144.47,2.1694,1.553,"NAN",83.4,12.36,12.18
"2019-11-21 10:54:00",765,17819.12,2.190067,1.553,2.965,83.4,12.34,12.2
"2019-11-21 10:55:00",766,"NAN",2.178566,1.553,2.921,"NAN","NAN",12.22
"2019-11-21 10:56:00",767,"NAN",2.194933,1.553,3.255,"NAN","NAN",12.13
"2019-11-21 10:57:00",768,"NAN",2.189766,1.553,2.702,87.9,12.2,12.17
"2019-11-21 10:58:00",769,9785.487,2.201267,1.553,2.241,84.9,12.35,12.22
"2019-11-21 10:59:00",770,11544.64,2.187067,0.7765,"NAN",83.9,12.39,12.26
"2019-11-21 11:00:00",771,10811.46,2.1815,0,"NAN",83.6,12.4,12.28
"2019-11-21 11:01:00",772,"NAN",2.256567,0,2.551,"NAN","NAN",12.3
"2019-11-21 11:02:00",773,12224.56,2.169567,1.553,2.562,87.7,12.35,12.15
"2019-11-21 11:03:00",774,13533.62,2.1912,0.7765,2.543,84.8,12.38,12.19
"2019-11-21 11:04:00",775,15867.74,2.166566,2.3295,2.789,83.9,12.38,12.22
"2019-11-21 11:05:00",776,13498.85,2.167533,0,2.721,83.5,12.38,12.26
"2019-11-21 11:06:00",777,12115.39,2.155066,0,2.685,83.4,12.37,12.28
"2019-11-21 11:07:00",778,19184.02,2.176333,1.553,2.769,83.4,12.36,12.31
"2019-11-21 11:08:00",779,18854.81,2.174066,0.7765,2.909,83.4,12.37,12.32
"2019-11-21 11:09:00",780,18655.01,2.153533,2.3295,2.925,83.4,12.37,12.33
"2019-11-21 11:10:00",781,"NAN",2.147567,2.3295,2.97,"NAN","NAN",12.35
"2019-11-21 11:11:00",782,11187.91,2.140666,0.7765,2.741,87.2,12.35,12.37
"2019-11-21 11:12:00",783,10321.7,2.1644,1.553,2.881,84.6,12.32,12.39
"2019-11-21 11:13:00",784,"NAN",2.194866,0.7765,2.964,"NAN","NAN",19.34
"2019-11-21 11:14:00",785,"NAN",2.180633,0,2.899,89.6,12.34,12.42
"2019-11-21 11:15:00",786,25146.12,2.197867,1.553,2.876,85.1,12.33,12.44
"2019-11-21 11:16:00",787,21905.31,2.175866,1.553,3.005,84,12.33,12.45
"2019-11-21 11:17:00",788,"NAN",2.124333,1.553,3.187,"NAN",12.29,12.46
"2019-11-21 11:18:00",789,"NAN",2.135867,0.7765,3,88.3,12.32,12.48
"2019-11-21 11:19:00",790,18071.36,2.121433,0.7765,2.985,85,12.29,12.5
"2019-11-21 11:20:00",791,"NAN",2.127967,1.553,3.106,83.9,12.3,12.52
"2019-11-21 11:21:00",792,9880.779,2.111967,0,3.038,83.6,12.3,12.55
"2019-11-21 11:22:00",793,6079.206,1.534533,0,8.71,83.4,12.29,12.58
"2019-11-21 11:23:00",794,4741.693,1.421333,1.553,9.76,83.4,12.3,12.61
"2019-11-21 11:24:00",795,5128.198,1.488533,9.318067,9.52,83.4,12.28,12.64
"2019-11-21 11:25:00",796,5550.869,1.5617,2.3295,9.15,83.4,12.29,12.69
"2019-11-21 11:26:00",797,5981.268,1.642733,5.435533,9.35,83.4,12.3,12.73
"2019-11-21 11:27:00",798,6194.947,1.721133,1.553,9.27,83.4,12.29,12.78
"2019-11-21 11:28:00",799,6485.626,1.794433,4.658999,9.56,83.4,12.28,12.82
"2019-11-21 11:29:00",800,6500.335,1.808133,3.106,9.4,83.4,12.29,12.86
"2019-11-21 11:30:00",801,6465.154,1.8265,0,9.43,83.4,12.28,12.9
"2019-11-21 11:31:00",802,6659.117,1.880933,0,9.4,83.4,12.27,12.92
"2019-11-21 11:32:00",803,6751.521,1.8944,2.3295,9.51,83.4,12.29,12.95
"2019-11-21 11:33:00",804,6926.964,1.947167,0.7765,9.53,83.4,12.29,12.97
"2019-11-21 11:34:00",805,6973.874,1.9502,0.7765,9.53,83.4,12.1,12.99
"2019-11-21 11:35:00",806,6951.063,1.952667,0.7765,9.64,83.4,11.93,13.01
"2019-11-21 11:36:00",807,6961.519,1.981733,0,9.62,83.4,12.13,13.02
